count,min,max,mean,median,p75,p95,p99
2,0.8851250000000164,3.663458999999989,2.2742920000000026,2.2742920000000026,3.663458999999989,3.663458999999989,3.663458999999989
2,0.9411020000000008,3.4421760000000177,2.191639000000009,2.191639000000009,3.4421760000000177,3.4421760000000177,3.4421760000000177
2,1.0383749999999736,3.3336300000000847,2.186002500000029,2.186002500000029,3.3336300000000847,3.3336300000000847,3.3336300000000847
2,0.8468209999999772,3.1943790000000263,2.0206000000000017,2.0206000000000017,3.1943790000000263,3.1943790000000263,3.1943790000000263
2,1.01996900000006,5.596584000000007,3.3082765000000336,3.3082765000000336,5.596584000000007,5.596584000000007,5.596584000000007
2,0.8500740000000633,3.450670999999943,2.150372500000003,2.150372500000003,3.450670999999943,3.450670999999943,3.450670999999943
2,0.802283999999986,3.3128050000000258,2.057544500000006,2.057544500000006,3.3128050000000258,3.3128050000000258,3.3128050000000258
2,0.7653830000000426,3.309003000000075,2.037193000000059,2.037193000000059,3.309003000000075,3.309003000000075,3.309003000000075
2,0.7870649999999841,3.287864000000013,2.0374644999999987,2.0374644999999987,3.287864000000013,3.287864000000013,3.287864000000013
2,0.8522300000000769,3.20909800000004,2.0306640000000584,2.0306640000000584,3.20909800000004,3.20909800000004,3.20909800000004
2,9.040978999999993,13.710094000000026,11.37553650000001,11.37553650000001,13.710094000000026,13.710094000000026,13.710094000000026
2,0.5767539999999372,3.272205999999983,1.92447999999996,1.92447999999996,3.272205999999983,3.272205999999983,3.272205999999983
2,0.681555000000003,3.5159830000000056,2.0987690000000043,2.0987690000000043,3.5159830000000056,3.5159830000000056,3.5159830000000056
2,0.6681160000000546,3.40186099999994,2.034988499999997,2.034988499999997,3.40186099999994,3.40186099999994,3.40186099999994
2,0.7682459999999764,3.446582000000035,2.1074140000000057,2.1074140000000057,3.446582000000035,3.446582000000035,3.446582000000035
2,0.7576340000000528,3.209732000000031,1.9836830000000418,1.9836830000000418,3.209732000000031,3.209732000000031,3.209732000000031
2,0.8705670000000509,3.684656000000018,2.2776115000000345,2.2776115000000345,3.684656000000018,3.684656000000018,3.684656000000018
2,0.6954269999999951,3.71646300000009,2.2059450000000425,2.2059450000000425,3.71646300000009,3.71646300000009,3.71646300000009
2,0.8603690000001052,4.890125000000012,2.8752470000000585,2.8752470000000585,4.890125000000012,4.890125000000012,4.890125000000012
2,0.9461489999999912,3.7167650000000094,2.3314570000000003,2.3314570000000003,3.7167650000000094,3.7167650000000094,3.7167650000000094
2,0.7385259999999789,4.256257000000005,2.497391499999992,2.497391499999992,4.256257000000005,4.256257000000005,4.256257000000005
2,0.8472910000000411,3.834353999999962,2.3408225000000016,2.3408225000000016,3.834353999999962,3.834353999999962,3.834353999999962
2,0.6418429999999944,3.8371649999999136,2.239503999999954,2.239503999999954,3.8371649999999136,3.8371649999999136,3.8371649999999136
2,0.525833999999918,3.487871999999925,2.0068529999999214,2.0068529999999214,3.487871999999925,3.487871999999925,3.487871999999925
2,0.535052999999948,4.177008000000001,2.3560304999999744,2.3560304999999744,4.177008000000001,4.177008000000001,4.177008000000001
2,0.6443830000000617,4.7557449999999335,2.7000639999999976,2.7000639999999976,4.7557449999999335,4.7557449999999335,4.7557449999999335
2,1.2244689999999991,3.814087000000086,2.5192780000000425,2.5192780000000425,3.814087000000086,3.814087000000086,3.814087000000086
2,0.8435389999999643,6.694251000000008,3.7688949999999863,3.7688949999999863,6.694251000000008,6.694251000000008,6.694251000000008
2,0.5415910000000395,1.8844010000000253,1.2129960000000324,1.2129960000000324,1.8844010000000253,1.8844010000000253,1.8844010000000253
2,0.252187000000049,1.3915590000000293,0.8218730000000392,0.8218730000000392,1.3915590000000293,1.3915590000000293,1.3915590000000293
2,0.29785900000001675,1.3715419999999767,0.8347004999999967,0.8347004999999967,1.3715419999999767,1.3715419999999767,1.3715419999999767
2,1.5960309999999254,53.90123300000005,27.748631999999986,27.748631999999986,53.90123300000005,53.90123300000005,53.90123300000005
2,0.9491459999999279,5.040095000000065,2.9946204999999964,2.9946204999999964,5.040095000000065,5.040095000000065,5.040095000000065
2,1.0797679999999445,3.1126880000000483,2.0962279999999964,2.0962279999999964,3.1126880000000483,3.1126880000000483,3.1126880000000483
